198.41.219.14,EWR,North America,Newark,179 ms
198.41.218.237,ORD,North America,Chicago,199 ms
162.159.239.136,SEA,North America,Seattle,206 ms
104.16.103.136,BOM,Asia Pacific,Mumbai,3 ms
104.16.106.54,BOM,Asia Pacific,Mumbai,3 ms
104.16.107.70,BOM,Asia Pacific,Mumbai,3 ms
104.16.110.51,BOM,Asia Pacific,Mumbai,3 ms
104.16.111.178,BOM,Asia Pacific,Mumbai,3 ms
104.16.113.253,BOM,Asia Pacific,Mumbai,3 ms
172.65.90.18,LHR,Europe,London,3 ms
104.21.226.99,MXP,Europe,Milan,112 ms
104.21.229.186,MXP,Europe,Milan,112 ms
104.21.233.123,MXP,Europe,Milan,112 ms
104.21.239.138,MXP,Europe,Milan,112 ms
162.159.160.22,MXP,Europe,Milan,112 ms
